participant_id,group,course_id,step_number,step_started_at,step_completed_at,time_on_task_seconds,attempts_code_runs,python_errors,progress_errors,help_requests,avg_hint_level,solved
P007,B,bmi-calculator,6,2026-01-12T11:42:05.751Z,2026-01-12T11:47:25.422Z,322,2,0,0,0,0,1
P007,B,bmi-calculator,7,2026-01-12T11:50:05.570Z,2026-01-12T11:52:47.445Z,164,1,0,0,0,0,1
P007,B,bmi-calculator,8,2026-01-12T11:56:22.267Z,2026-01-12T12:01:02.163Z,282,3,2,0,0,0,1
P007,B,bmi-calculator,9,2026-01-12T12:04:29.675Z,,0,0,0,0,0,0,0
P008,A,bmi-calculator,1,2025-12-09T09:40:27.615Z,2025-12-09T09:40:58.817Z,32,1,0,0,0,0,1
P008,A,bmi-calculator,2,2025-12-09T09:41:32.604Z,2025-12-09T09:42:07.619Z,35,1,0,0,0,0,1
P008,A,bmi-calculator,3,2025-12-09T09:42:46.705Z,2025-12-09T09:43:35.338Z,49,1,0,0,0,0,1
P008,A,bmi-calculator,4,2025-12-09T09:44:28.425Z,2025-12-09T09:45:04.912Z,37,1,0,0,0,0,1
P008,A,bmi-calculator,5,2025-12-09T09:48:53.563Z,2025-12-09T09:52:59.171Z,246,4,0,0,0,0,1
P008,A,bmi-calculator,6,2025-12-09T09:53:59.703Z,2025-12-09T09:55:06.774Z,67,2,0,0,0,0,1
P008,A,bmi-calculator,7,2025-12-09T09:55:30.094Z,2025-12-09T09:56:28.753Z,59,1,0,0,0,0,1
P008,A,bmi-calculator,8,2025-12-09T09:57:06.465Z,2025-12-09T09:59:55.204Z,169,1,0,0,0,0,1
P008,A,bmi-calculator,9,2025-12-09T10:00:32.284Z,2025-12-09T10:02:16.583Z,104,1,0,0,0,0,1
P008,A,bmi-calculator,10,2025-12-09T10:02:41.614Z,2025-12-09T10:04:32.751Z,111,4,0,0,0,0,1
P008,A,bmi-calculator,11,2025-12-09T10:05:17.037Z,2025-12-09T10:06:41.276Z,84,3,0,0,0,0,1
P008,A,bmi-calculator,12,2025-12-09T10:07:58.056Z,2025-12-09T10:08:48.747Z,51,1,0,0,0,0,1
P009,B,bmi-calculator,1,2025-12-26T09:37:10.920Z,2025-12-26T09:40:57.886Z,227,1,0,0,1,1,1
P009,B,bmi-calculator,2,2025-12-26T09:41:58.876Z,2025-12-26T09:44:19.321Z,141,1,0,0,0,0,1
